District,Year,Month,Rainfall_mm
Belagavi,2018,9,126.24
Belagavi,2018,10,51.47
Belagavi,2018,11,16.11
Belagavi,2018,12,3.46
Belagavi,2019,1,0
Belagavi,2019,2,0
Belagavi,2019,3,8.51
Belagavi,2019,4,19.16
Belagavi,2019,5,3.8
Belagavi,2019,6,251.3
Belagavi,2019,7,536.71
Belagavi,2019,8,822.13
Belagavi,2019,9,329.51
Belagavi,2019,10,331.28
Belagavi,2019,11,14.81
Belagavi,2019,12,2.28
Belagavi,2020,1,0.23
Belagavi,2020,2,0
Belagavi,2020,3,14.15
Belagavi,2020,4,35.42
Belagavi,2020,5,28.22
Belagavi,2020,6,407.91
Belagavi,2020,7,508.03
Belagavi,2020,8,618.2
Belagavi,2020,9,375.14
Belagavi,2020,10,252.1
Belagavi,2020,11,0.3
Belagavi,2020,12,2.62
Belagavi,2021,1,9.55
Belagavi,2021,2,9.35
Belagavi,2021,3,2.34
Belagavi,2021,4,30.21
Belagavi,2021,5,247.17
Belagavi,2021,6,500.07
Belagavi,2021,7,693.98
Belagavi,2021,8,130.63
Belagavi,2021,9,207.25
Belagavi,2021,10,129.2
Belagavi,2021,11,87.11
Belagavi,2021,12,63.67
Belagavi,2022,1,0.23
Belagavi,2022,2,0
Belagavi,2022,3,12.39
Belagavi,2022,4,50.03
Belagavi,2022,5,68.26
Belagavi,2022,6,257.24
Belagavi,2022,7,509.97
Belagavi,2022,8,340.32
Belagavi,2022,9,243.02
Belagavi,2022,10,160.19
Belagavi,2022,11,2.19
Belagavi,2022,12,3.93
Belagavi,2023,1,0.02
Belagavi,2023,2,0
Belagavi,2023,3,0.05
Belagavi,2023,4,12.14
Belagavi,2023,5,32.34
Belagavi,2023,6,129.46
Belagavi,2023,7,715.38
Belagavi,2023,8,99.44
Belagavi,2023,9,198.56
Belagavi,2023,10,37.2
Belagavi,2023,11,30.76
Belagavi,2023,12,0.82
Belagavi,2024,1,3.1
Belagavi,2024,2,0
Belagavi,2024,3,0.21
Belagavi,2024,4,47.02
Belagavi,2024,5,76.21
Belagavi,2024,6,368.08
Belagavi,2024,7,937.57
Belagavi,2024,8,364.65
Belagavi,2024,9,291.38
Belagavi,2024,10,325.1
Belagavi,2024,11,6.35
Belagavi,2024,12,8.83
Belagavi,2025,1,0
Belagavi,2025,2,0.06
Belagavi,2025,3,4.17
Belagavi,2025,4,35.28
Belagavi,2025,5,845.4
Belagavi,2025,6,0
Belagavi,2025,7,0
Belagavi,2025,8,0
Belagavi,2025,9,0
Belagavi,2025,10,0
Belagavi,2025,11,0
Belagavi,2025,12,0
Haveri,2018,1,2.47
Haveri,2018,2,2.43
Haveri,2018,3,16.92
Haveri,2018,4,33.93
Haveri,2018,5,105.45
Haveri,2018,6,147.37
Haveri,2018,7,76.6
Haveri,2018,8,64.4
Haveri,2018,9,86.34
Haveri,2018,10,37.7
Haveri,2018,11,4.41
Haveri,2018,12,0.64
Haveri,2019,1,0.23
Haveri,2019,2,0.36
Haveri,2019,3,1.78
Haveri,2019,4,25.78
Haveri,2019,5,32.43
Haveri,2019,6,93.14
Haveri,2019,7,123.64
Haveri,2019,8,217.51
Haveri,2019,9,150.47
Haveri,2019,10,255.2
Haveri,2019,11,24.36
Haveri,2019,12,8.38
Haveri,2020,1,1.65
Haveri,2020,2,0
Haveri,2020,3,2.99
Haveri,2020,4,80.99
Haveri,2020,5,71.65
Haveri,2020,6,116.04
Haveri,2020,7,294.71
Haveri,2020,8,173.5
Haveri,2020,9,245.84
Haveri,2020,10,219.87
Haveri,2020,11,7.16
Haveri,2020,12,4.69
Haveri,2021,1,32.76
Haveri,2021,2,19.54
Haveri,2021,3,1.59
Haveri,2021,4,33.06
Haveri,2021,5,184.99
Haveri,2021,6,149.03
Haveri,2021,7,191.63
Haveri,2021,8,73.04
Haveri,2021,9,109.77
Haveri,2021,10,145.71
Haveri,2021,11,126.85
Haveri,2021,12,12.03
Haveri,2022,1,0.13
Haveri,2022,2,0
Haveri,2022,3,3.56
Haveri,2022,4,50.75
Haveri,2022,5,160.89
Haveri,2022,6,87.3
Haveri,2022,7,188.94
Haveri,2022,8,169.08
Haveri,2022,9,205.48
Haveri,2022,10,101.02
Haveri,2022,11,7.96
Haveri,2022,12,18.99
Haveri,2023,1,0.01
Haveri,2023,2,0
Haveri,2023,3,0.4
Haveri,2023,4,12.01
Haveri,2023,5,47.01
Haveri,2023,6,40.32
Haveri,2023,7,212.43
Haveri,2023,8,44.47
Haveri,2023,9,131.31
Haveri,2023,10,5.75
Haveri,2023,11,61.58
Haveri,2023,12,1.78
Haveri,2024,1,19.34
Haveri,2024,2,0
Haveri,2024,3,0.78
Haveri,2024,4,47.19
Haveri,2024,5,97.62
Haveri,2024,6,155.91
Haveri,2024,7,192.9
Haveri,2024,8,172.79
Haveri,2024,9,124.86
Haveri,2024,10,205.31
Haveri,2024,11,6.54
Haveri,2024,12,22.14
Haveri,2025,1,0.05
Haveri,2025,2,0.39
Haveri,2025,3,6.42
Haveri,2025,4,68.93
Haveri,2025,5,278.7
Haveri,2025,6,0
Haveri,2025,7,0
Haveri,2025,8,0
Haveri,2025,9,0
Haveri,2025,10,0
Haveri,2025,11,0
Haveri,2025,12,0
Bidar,2018,1,0
Bidar,2018,2,0.26
Bidar,2018,3,0.33
Bidar,2018,4,21.43
Bidar,2018,5,29.11
Bidar,2018,6,103.46
Bidar,2018,7,94.64
Bidar,2018,8,183.33
Bidar,2018,9,60.64
Bidar,2018,10,18.51
Bidar,2018,11,0.2
Bidar,2018,12,11.74
Bidar,2019,1,11.28
Bidar,2019,2,0.54
Bidar,2019,3,3.86
Bidar,2019,4,9.03
Bidar,2019,5,7.54
Bidar,2019,6,66.89
Bidar,2019,7,154.07
Bidar,2019,8,162.8
Bidar,2019,9,198.39
Bidar,2019,10,116.99
Bidar,2019,11,3.88
Bidar,2019,12,1.69
Bidar,2020,1,8.6
Bidar,2020,2,1.01
Bidar,2020,3,14.26
Bidar,2020,4,12.34
Bidar,2020,5,39.4
Bidar,2020,6,167.17
Bidar,2020,7,223.42
Bidar,2020,8,217.39
Bidar,2020,9,244.51
Bidar,2020,10,144.24
Bidar,2020,11,2.38
Bidar,2020,12,0
Bidar,2021,1,1.25
Bidar,2021,2,1.09
Bidar,2021,3,0.08
Bidar,2021,4,19.87
Bidar,2021,5,50.22
Bidar,2021,6,160.47
Bidar,2021,7,344.38
Bidar,2021,8,119.95
Bidar,2021,9,316.38
Bidar,2021,10,65.97
Bidar,2021,11,15.67
Bidar,2021,12,0.14
Bidar,2022,1,13.28
Bidar,2022,2,0.16
Bidar,2022,3,0.46
Bidar,2022,4,3.46
Bidar,2022,5,36.76
Bidar,2022,6,77.23
Bidar,2022,7,503.03
Bidar,2022,8,114.08
Bidar,2022,9,196.81
Bidar,2022,10,87.34
Bidar,2022,11,0.07
Bidar,2022,12,1.95
Bidar,2023,1,0
Bidar,2023,2,0
Bidar,2023,3,43.6
Bidar,2023,4,77.7
Bidar,2023,5,57
Bidar,2023,6,56.23
Bidar,2023,7,420.05
Bidar,2023,8,41.5
Bidar,2023,9,227.29
Bidar,2023,10,5.99
Bidar,2023,11,35.16
Bidar,2023,12,1.41
Bidar,2024,1,0
Bidar,2024,2,0
Bidar,2024,3,15.3
Bidar,2024,4,12.76
Bidar,2024,5,66.17
Bidar,2024,6,139.18
Bidar,2024,7,197.08
Bidar,2024,8,203.29
Bidar,2024,9,274.24
Bidar,2024,10,65.42
Bidar,2024,11,1.61
Bidar,2024,12,7.2
Bidar,2025,1,0
Bidar,2025,2,0
Bidar,2025,3,11.93
Bidar,2025,4,26.65
Bidar,2025,5,149.42
Bidar,2025,6,0
Bidar,2025,7,0
Bidar,2025,8,0
Bidar,2025,9,0
Bidar,2025,10,0
Bidar,2025,11,0
Bidar,2025,12,0
