District,Year,Month,Rainfall_mm,Rainfall_lag_1,Rainfall_lag_2,Rainfall_lag_3,Rainfall_3mo_sum
Belagavi,2025,10,7.07,0.0,-23.22,0.0,-23.22
Belagavi,2025,11,0.0,7.07,0.0,-23.22,-16.15
Belagavi,2025,11,263.83,0.0,7.07,0.0,7.07
Belagavi,2025,12,0.0,263.83,0.0,7.07,270.9
Belagavi,2025,12,195.9,0.0,263.83,0.0,263.83
Belagavi,2026,1,493.66,195.9,0.0,263.83,459.73
Belagavi,2026,2,198.19,493.66,195.9,0.0,689.5600000000001
Belagavi,2026,3,156.7,198.19,493.66,195.9,887.75
Belagavi,2026,4,114.8,156.7,198.19,493.66,848.55
Belagavi,2026,5,-13.31,114.8,156.7,198.19,469.69
Belagavi,2026,6,-20.59,-13.31,114.8,156.7,258.19
Belagavi,2026,7,-34.57,-20.59,-13.31,114.8,80.9
Belagavi,2026,8,-35.39,-34.57,-20.59,-13.31,-68.47
Belagavi,2026,9,-31.98,-35.39,-34.57,-20.59,-90.55000000000001
Belagavi,2026,10,-1.58,-31.98,-35.39,-34.57,-101.94
Belagavi,2026,11,292.47,-1.58,-31.98,-35.39,-68.95
Belagavi,2026,12,172.15,292.47,-1.58,-31.98,258.91
Belagavi,2027,1,449.84,172.15,292.47,-1.58,463.04
Belagavi,2027,2,174.29,449.84,172.15,292.47,914.46
Belagavi,2027,3,135.59,174.29,449.84,172.15,796.28
Belagavi,2027,4,96.52,135.59,174.29,449.84,759.72
Belagavi,2027,5,-22.96,96.52,135.59,174.29,406.4
Belagavi,2027,6,-29.75,-22.96,96.52,135.59,209.15
Belagavi,2027,7,-44.39,-29.75,-22.96,96.52,43.809999999999995
Belagavi,2027,8,-45.32,-44.39,-29.75,-22.96,-97.1
Belagavi,2027,9,-41.94,-45.32,-44.39,-29.75,-119.46000000000001
Belagavi,2027,10,-11.55,-41.94,-45.32,-44.39,-131.64999999999998
Belagavi,2027,11,280.0,-11.55,-41.94,-45.32,-98.81
Belagavi,2027,12,163.2,280.0,-11.55,-41.94,226.51
Bidar,2018,1,0.0,,,,0.0
Bidar,2018,2,0.26,0.0,,,0.0
Bidar,2018,3,0.33,0.26,0.0,,0.26
Bidar,2018,4,21.43,0.33,0.26,0.0,0.5900000000000001
Bidar,2018,5,29.11,21.43,0.33,0.26,22.02
Bidar,2018,6,103.46,29.11,21.43,0.33,50.87
Bidar,2018,7,94.64,103.46,29.11,21.43,154.0
Bidar,2018,8,183.33,94.64,103.46,29.11,227.20999999999998
Bidar,2018,9,60.64,183.33,94.64,103.46,381.43
Bidar,2018,10,18.51,60.64,183.33,94.64,338.61
Bidar,2018,11,0.2,18.51,60.64,183.33,262.48
Bidar,2018,12,11.74,0.2,18.51,60.64,79.35
Bidar,2019,1,11.28,11.74,0.2,18.51,30.450000000000003
Bidar,2019,2,0.54,11.28,11.74,0.2,23.22
Bidar,2019,3,3.86,0.54,11.28,11.74,23.560000000000002
Bidar,2019,4,9.03,3.86,0.54,11.28,15.68
Bidar,2019,5,7.54,9.03,3.86,0.54,13.43
Bidar,2019,6,66.89,7.54,9.03,3.86,20.43
Bidar,2019,7,154.07,66.89,7.54,9.03,83.46000000000001
Bidar,2019,8,162.8,154.07,66.89,7.54,228.49999999999997
Bidar,2019,9,198.39,162.8,154.07,66.89,383.76
Bidar,2019,10,116.99,198.39,162.8,154.07,515.26
Bidar,2019,11,3.88,116.99,198.39,162.8,478.18
Bidar,2019,12,1.69,3.88,116.99,198.39,319.26
Bidar,2020,1,8.6,1.69,3.88,116.99,122.56
Bidar,2020,2,1.01,8.6,1.69,3.88,14.169999999999998
Bidar,2020,3,14.26,1.01,8.6,1.69,11.299999999999999
Bidar,2020,4,12.34,14.26,1.01,8.6,23.869999999999997
Bidar,2020,5,39.4,12.34,14.26,1.01,27.610000000000003
Bidar,2020,6,167.17,39.4,12.34,14.26,66.0
Bidar,2020,7,223.42,167.17,39.4,12.34,218.91
Bidar,2020,8,217.39,223.42,167.17,39.4,429.98999999999995
Bidar,2020,9,244.51,217.39,223.42,167.17,607.9799999999999
Bidar,2020,10,144.24,244.51,217.39,223.42,685.3199999999999
Bidar,2020,11,2.38,144.24,244.51,217.39,606.14
Bidar,2020,12,0.0,2.38,144.24,244.51,391.13
Bidar,2021,1,1.25,0.0,2.38,144.24,146.62
Bidar,2021,2,1.09,1.25,0.0,2.38,3.63
Bidar,2021,3,0.08,1.09,1.25,0.0,2.34
Bidar,2021,4,19.87,0.08,1.09,1.25,2.42
Bidar,2021,5,50.22,19.87,0.08,1.09,21.04
Bidar,2021,6,160.47,50.22,19.87,0.08,70.17
Bidar,2021,7,344.38,160.47,50.22,19.87,230.56
Bidar,2021,8,119.95,344.38,160.47,50.22,555.07
Bidar,2021,9,316.38,119.95,344.38,160.47,624.8
Bidar,2021,10,65.97,316.38,119.95,344.38,780.71
Bidar,2021,11,15.67,65.97,316.38,119.95,502.3
Bidar,2021,12,0.14,15.67,65.97,316.38,398.02
Bidar,2022,1,13.28,0.14,15.67,65.97,81.78
Bidar,2022,2,0.16,13.28,0.14,15.67,29.09
Bidar,2022,3,0.46,0.16,13.28,0.14,13.58
Bidar,2022,4,3.46,0.46,0.16,13.28,13.899999999999999
Bidar,2022,5,36.76,3.46,0.46,0.16,4.08
Bidar,2022,6,77.23,36.76,3.46,0.46,40.68
Bidar,2022,7,503.03,77.23,36.76,3.46,117.45
Bidar,2022,8,114.08,503.03,77.23,36.76,617.02
Bidar,2022,9,196.81,114.08,503.03,77.23,694.34
Bidar,2022,10,87.34,196.81,114.08,503.03,813.92
Bidar,2022,11,0.07,87.34,196.81,114.08,398.22999999999996
Bidar,2022,12,1.95,0.07,87.34,196.81,284.22
Bidar,2023,1,0.0,1.95,0.07,87.34,89.36
Bidar,2023,2,0.0,0.0,1.95,0.07,2.02
Bidar,2023,3,43.6,0.0,0.0,1.95,1.95
Bidar,2023,4,77.7,43.6,0.0,0.0,43.6
Bidar,2023,5,57.0,77.7,43.6,0.0,121.30000000000001
Bidar,2023,6,56.23,57.0,77.7,43.6,178.29999999999998
Bidar,2023,7,420.05,56.23,57.0,77.7,190.93
Bidar,2023,8,41.5,420.05,56.23,57.0,533.28
Bidar,2023,9,227.29,41.5,420.05,56.23,517.78
Bidar,2023,10,5.99,227.29,41.5,420.05,688.8399999999999
Bidar,2023,11,35.16,5.99,227.29,41.5,274.78
Bidar,2023,12,1.41,35.16,5.99,227.29,268.44
Bidar,2024,1,0.0,1.41,35.16,5.99,42.559999999999995
Bidar,2024,2,0.0,0.0,1.41,35.16,36.56999999999999
Bidar,2024,3,15.3,0.0,0.0,1.41,1.41
Bidar,2024,4,12.76,15.3,0.0,0.0,15.3
Bidar,2024,5,66.17,12.76,15.3,0.0,28.060000000000002
Bidar,2024,6,139.18,66.17,12.76,15.3,94.23
Bidar,2024,7,197.08,139.18,66.17,12.76,218.11
Bidar,2024,8,203.29,197.08,139.18,66.17,402.43
Bidar,2024,9,274.24,203.29,197.08,139.18,539.55
Bidar,2024,10,65.42,274.24,203.29,197.08,674.61
Bidar,2024,11,1.61,65.42,274.24,203.29,542.95
Bidar,2024,12,7.2,1.61,65.42,274.24,341.27
Bidar,2025,1,0.0,7.2,1.61,65.42,74.23
Bidar,2025,2,0.0,0.0,7.2,1.61,8.81
Bidar,2025,3,11.93,0.0,0.0,7.2,7.2
Bidar,2025,4,26.65,11.93,0.0,0.0,11.93
Bidar,2025,5,149.42,26.65,11.93,0.0,38.58
Bidar,2025,6,0.0,149.42,26.65,11.93,188.0
Bidar,2025,7,0.0,0.0,149.42,26.65,176.07
Bidar,2025,7,-44.06,0.0,0.0,149.42,149.42
Bidar,2025,8,0.0,-44.06,0.0,0.0,-44.06
Bidar,2025,8,-46.2,0.0,-44.06,0.0,-44.06
Bidar,2025,9,0.0,-46.2,0.0,-44.06,-90.26
Bidar,2025,9,-33.83,0.0,-46.2,0.0,-46.2
Bidar,2025,10,0.0,-33.83,0.0,-46.2,-80.03
Bidar,2025,10,-20.48,0.0,-33.83,0.0,-33.83
Bidar,2025,11,0.0,-20.48,0.0,-33.83,-54.31
Bidar,2025,11,94.82,0.0,-20.48,0.0,-20.48
Bidar,2025,12,0.0,94.82,0.0,-20.48,74.33999999999999
Bidar,2025,12,-33.45,0.0,94.82,0.0,94.82
Bidar,2026,1,-24.79,-33.45,0.0,94.82,61.36999999999999
Bidar,2026,2,-27.87,-24.79,-33.45,0.0,-58.24
Bidar,2026,3,-19.9,-27.87,-24.79,-33.45,-86.11
Bidar,2026,4,-40.41,-19.9,-27.87,-24.79,-72.56
Bidar,2026,5,-45.88,-40.41,-19.9,-27.87,-88.17999999999999
Bidar,2026,6,-45.68,-45.88,-40.41,-19.9,-106.19
Bidar,2026,7,-86.07,-45.68,-45.88,-40.41,-131.97
Bidar,2026,8,-88.0,-86.07,-45.68,-45.88,-177.63
Bidar,2026,9,-75.61,-88.0,-86.07,-45.68,-219.75
Bidar,2026,10,-62.27,-75.61,-88.0,-86.07,-249.68
Bidar,2026,11,53.03,-62.27,-75.61,-88.0,-225.88
Bidar,2026,12,-75.23,53.03,-62.27,-75.61,-84.85
Bidar,2027,1,-66.57,-75.23,53.03,-62.27,-84.47
Bidar,2027,2,-69.66,-66.57,-75.23,53.03,-88.77000000000001
Bidar,2027,3,-61.68,-69.66,-66.57,-75.23,-211.45999999999998
Bidar,2027,4,-82.19,-61.68,-69.66,-66.57,-197.91
Bidar,2027,5,-87.66,-82.19,-61.68,-69.66,-213.53
Bidar,2027,6,-87.46,-87.66,-82.19,-61.68,-231.53
Bidar,2027,7,-127.85,-87.46,-87.66,-82.19,-257.31
Bidar,2027,8,-129.78,-127.85,-87.46,-87.66,-302.97
Bidar,2027,9,-117.4,-129.78,-127.85,-87.46,-345.09
Bidar,2027,10,-104.05,-117.4,-129.78,-127.85,-375.03
Bidar,2027,11,11.25,-104.05,-117.4,-129.78,-351.23
Bidar,2027,12,-117.01,11.25,-104.05,-117.4,-210.2
Dharwad,2018,1,1.84,,,,0.0
Dharwad,2018,2,2.17,1.84,,,1.84
Dharwad,2018,3,12.46,2.17,1.84,,4.01
Dharwad,2018,4,25.65,12.46,2.17,1.84,16.470000000000002
Dharwad,2018,5,120.33,25.65,12.46,2.17,40.28
Dharwad,2018,6,239.16,120.33,25.65,12.46,158.44
Dharwad,2018,7,194.14,239.16,120.33,25.65,385.14
Dharwad,2018,8,115.31,194.14,239.16,120.33,553.63
Dharwad,2018,9,118.36,115.31,194.14,239.16,548.61
Dharwad,2018,10,42.58,118.36,115.31,194.14,427.81
Dharwad,2018,11,6.23,42.58,118.36,115.31,276.25
Dharwad,2018,12,3.14,6.23,42.58,118.36,167.17000000000002
Dharwad,2019,1,0.0,3.14,6.23,42.58,51.95
Dharwad,2019,2,0.03,0.0,3.14,6.23,9.370000000000001
Dharwad,2019,3,6.82,0.03,0.0,3.14,3.17
Dharwad,2019,4,30.35,6.82,0.03,0.0,6.8500000000000005
Dharwad,2019,5,17.97,30.35,6.82,0.03,37.2
Dharwad,2019,6,150.14,17.97,30.35,6.82,55.14
Dharwad,2019,7,257.39,150.14,17.97,30.35,198.45999999999998
Dharwad,2019,8,456.49,257.39,150.14,17.97,425.5
Dharwad,2019,9,190.66,456.49,257.39,150.14,864.02
Dharwad,2019,10,286.03,190.66,456.49,257.39,904.54
Dharwad,2019,11,23.85,286.03,190.66,456.49,933.18
Dharwad,2019,12,2.69,23.85,286.03,190.66,500.53999999999996
Dharwad,2020,1,1.27,2.69,23.85,286.03,312.57
Dharwad,2020,2,0.0,1.27,2.69,23.85,27.810000000000002
Dharwad,2020,3,11.04,0.0,1.27,2.69,3.96
Dharwad,2020,4,70.46,11.04,0.0,1.27,12.309999999999999
Dharwad,2020,5,55.48,70.46,11.04,0.0,81.5
Dharwad,2020,6,209.26,55.48,70.46,11.04,136.98
Dharwad,2020,7,361.31,209.26,55.48,70.46,335.2
Dharwad,2020,8,343.15,361.31,209.26,55.48,626.05
Dharwad,2020,9,286.66,343.15,361.31,209.26,913.72
Dharwad,2020,10,204.92,286.66,343.15,361.31,991.1199999999999
Dharwad,2020,11,1.46,204.92,286.66,343.15,834.73
Dharwad,2020,12,1.96,1.46,204.92,286.66,493.04
Dharwad,2021,1,11.71,1.96,1.46,204.92,208.33999999999997
Dharwad,2021,2,12.44,11.71,1.96,1.46,15.130000000000003
Dharwad,2021,3,3.4,12.44,11.71,1.96,26.11
Dharwad,2021,4,33.64,3.4,12.44,11.71,27.55
Dharwad,2021,5,212.61,33.64,3.4,12.44,49.48
Dharwad,2021,6,273.55,212.61,33.64,3.4,249.65
Dharwad,2021,7,323.33,273.55,212.61,33.64,519.8000000000001
Dharwad,2021,8,89.46,323.33,273.55,212.61,809.49
Dharwad,2021,9,146.94,89.46,323.33,273.55,686.3399999999999
Dharwad,2021,10,119.8,146.94,89.46,323.33,559.73
Dharwad,2021,11,102.69,119.8,146.94,89.46,356.2
Dharwad,2021,12,33.5,102.69,119.8,146.94,369.43
Dharwad,2022,1,0.05,33.5,102.69,119.8,255.99
Dharwad,2022,2,0.0,0.05,33.5,102.69,136.24
Dharwad,2022,3,10.41,0.0,0.05,33.5,33.55
Dharwad,2022,4,47.32,10.41,0.0,0.05,10.46
Dharwad,2022,5,103.64,47.32,10.41,0.0,57.730000000000004
Dharwad,2022,6,141.54,103.64,47.32,10.41,161.37
Dharwad,2022,7,292.93,141.54,103.64,47.32,292.5
Dharwad,2022,8,214.45,292.93,141.54,103.64,538.11
Dharwad,2022,9,215.99,214.45,292.93,141.54,648.92
Dharwad,2022,10,104.92,215.99,214.45,292.93,723.37
Dharwad,2022,11,3.42,104.92,215.99,214.45,535.36
Dharwad,2022,12,9.76,3.42,104.92,215.99,324.33000000000004
Dharwad,2023,1,0.02,9.76,3.42,104.92,118.1
Dharwad,2023,2,0.0,0.02,9.76,3.42,13.2
Dharwad,2023,3,0.02,0.0,0.02,9.76,9.78
Dharwad,2023,4,13.32,0.02,0.0,0.02,0.04
Dharwad,2023,5,39.56,13.32,0.02,0.0,13.34
Dharwad,2023,6,74.89,39.56,13.32,0.02,52.900000000000006
Dharwad,2023,7,379.57,74.89,39.56,13.32,127.77000000000001
Dharwad,2023,8,61.49,379.57,74.89,39.56,494.02
Dharwad,2023,9,155.32,61.49,379.57,74.89,515.95
Dharwad,2023,10,14.8,155.32,61.49,379.57,596.38
Dharwad,2023,11,42.59,14.8,155.32,61.49,231.61
Dharwad,2023,12,0.73,42.59,14.8,155.32,212.70999999999998
Dharwad,2024,1,9.04,0.73,42.59,14.8,58.120000000000005
Dharwad,2024,2,0.0,9.04,0.73,42.59,52.36
Dharwad,2024,3,0.71,0.0,9.04,0.73,9.77
Dharwad,2024,4,54.23,0.71,0.0,9.04,9.75
Dharwad,2024,5,78.2,54.23,0.71,0.0,54.94
Dharwad,2024,6,233.04,78.2,54.23,0.71,133.14000000000001
Dharwad,2024,7,428.11,233.04,78.2,54.23,365.47
Dharwad,2024,8,210.75,428.11,233.04,78.2,739.35
Dharwad,2024,9,190.19,210.75,428.11,233.04,871.9
Dharwad,2024,10,237.1,190.19,210.75,428.11,829.05
Dharwad,2024,11,5.64,237.1,190.19,210.75,638.04
Dharwad,2024,12,15.86,5.64,237.1,190.19,432.92999999999995
Dharwad,2025,1,0.0,15.86,5.64,237.1,258.6
Dharwad,2025,2,0.31,0.0,15.86,5.64,21.5
Dharwad,2025,3,6.73,0.31,0.0,15.86,16.169999999999998
Dharwad,2025,4,49.06,6.73,0.31,0.0,7.04
Dharwad,2025,5,495.96,49.06,6.73,0.31,56.10000000000001
Dharwad,2025,6,0.0,495.96,49.06,6.73,551.75
Dharwad,2025,7,0.0,0.0,495.96,49.06,545.02
Dharwad,2025,7,-14.61,0.0,0.0,495.96,495.96
Dharwad,2025,8,0.0,-14.61,0.0,0.0,-14.61
Dharwad,2025,8,-17.66,0.0,-14.61,0.0,-14.61
Dharwad,2025,9,0.0,-17.66,0.0,-14.61,-32.269999999999996
Dharwad,2025,9,-14.09,0.0,-17.66,0.0,-17.66
Dharwad,2025,10,0.0,-14.09,0.0,-17.66,-31.75
Dharwad,2025,10,23.24,0.0,-14.09,0.0,-14.09
Dharwad,2025,11,0.0,23.24,0.0,-14.09,9.149999999999999
Dharwad,2025,11,175.29,0.0,23.24,0.0,23.24
Dharwad,2025,12,0.0,175.29,0.0,23.24,198.53
Dharwad,2025,12,114.62,0.0,175.29,0.0,175.29
Dharwad,2026,1,239.6,114.62,0.0,175.29,289.90999999999997
Dharwad,2026,2,119.69,239.6,114.62,0.0,354.22
Dharwad,2026,3,117.29,119.69,239.6,114.62,473.90999999999997
Dharwad,2026,4,86.73,117.29,119.69,239.6,476.58000000000004
Dharwad,2026,5,-1.23,86.73,117.29,119.69,323.71000000000004
Dharwad,2026,6,-12.32,-1.23,86.73,117.29,202.79000000000002
Dharwad,2026,7,-22.27,-12.32,-1.23,86.73,73.18
Dharwad,2026,8,-24.13,-22.27,-12.32,-1.23,-35.82
Dharwad,2026,9,-20.23,-24.13,-22.27,-12.32,-58.72
Dharwad,2026,10,17.29,-20.23,-24.13,-22.27,-66.63
Dharwad,2026,11,177.82,17.29,-20.23,-24.13,-27.07
Dharwad,2026,12,104.66,177.82,17.29,-20.23,174.88
Dharwad,2027,1,226.06,104.66,177.82,17.29,299.77000000000004
Dharwad,2027,2,109.59,226.06,104.66,177.82,508.54
Dharwad,2027,3,107.26,109.59,226.06,104.66,440.30999999999995
Dharwad,2027,4,77.58,107.26,109.59,226.06,442.91
Dharwad,2027,5,-7.86,77.58,107.26,109.59,294.43
Dharwad,2027,6,-18.63,-7.86,77.58,107.26,176.98000000000002
Dharwad,2027,7,-28.71,-18.63,-7.86,77.58,51.09
Dharwad,2027,8,-30.62,-28.71,-18.63,-7.86,-55.2
Dharwad,2027,9,-26.73,-30.62,-28.71,-18.63,-77.96
Dharwad,2027,10,10.8,-26.73,-30.62,-28.71,-86.06
Dharwad,2027,11,171.08,10.8,-26.73,-30.62,-46.55
Dharwad,2027,12,98.28,171.08,10.8,-26.73,155.15000000000003
Gadag,2018,1,2.56,,,,0.0
Gadag,2018,2,2.83,2.56,,,2.56
Gadag,2018,3,13.29,2.83,2.56,,5.390000000000001
Gadag,2018,4,31.12,13.29,2.83,2.56,18.679999999999996
Gadag,2018,5,107.56,31.12,13.29,2.83,47.239999999999995
Gadag,2018,6,126.68,107.56,31.12,13.29,151.97
Gadag,2018,7,59.14,126.68,107.56,31.12,265.36
Gadag,2018,8,52.67,59.14,126.68,107.56,293.38
Gadag,2018,9,111.0,52.67,59.14,126.68,238.49
Gadag,2018,10,32.05,111.0,52.67,59.14,222.81
Gadag,2018,11,5.28,32.05,111.0,52.67,195.72000000000003
Gadag,2018,12,1.82,5.28,32.05,111.0,148.32999999999998
Gadag,2019,1,0.37,1.82,5.28,32.05,39.15
Gadag,2019,2,0.15,0.37,1.82,5.28,7.470000000000001
Gadag,2019,3,3.18,0.15,0.37,1.82,2.34
Gadag,2019,4,31.21,3.18,0.15,0.37,3.7
Gadag,2019,5,27.71,31.21,3.18,0.15,34.54
Gadag,2019,6,75.07,27.71,31.21,3.18,62.1
Gadag,2019,7,94.99,75.07,27.71,31.21,133.99
Gadag,2019,8,204.57,94.99,75.07,27.71,197.77
Gadag,2019,9,121.28,204.57,94.99,75.07,374.63
Gadag,2019,10,221.88,121.28,204.57,94.99,420.84000000000003
Gadag,2019,11,25.15,221.88,121.28,204.57,547.73
Gadag,2019,12,4.86,25.15,221.88,121.28,368.31
Gadag,2020,1,1.94,4.86,25.15,221.88,251.89
Gadag,2020,2,0.0,1.94,4.86,25.15,31.95
Gadag,2020,3,6.06,0.0,1.94,4.86,6.800000000000001
Gadag,2020,4,92.99,6.06,0.0,1.94,8.0
Gadag,2020,5,69.48,92.99,6.06,0.0,99.05
Gadag,2020,6,83.01,69.48,92.99,6.06,168.53
Gadag,2020,7,249.54,83.01,69.48,92.99,245.48000000000002
Gadag,2020,8,154.76,249.54,83.01,69.48,402.03000000000003
Gadag,2020,9,213.47,154.76,249.54,83.01,487.30999999999995
Gadag,2020,10,174.79,213.47,154.76,249.54,617.77
Gadag,2020,11,4.35,174.79,213.47,154.76,543.02
Gadag,2020,12,1.82,4.35,174.79,213.47,392.61
Gadag,2021,1,17.92,1.82,4.35,174.79,180.95999999999998
Gadag,2021,2,13.69,17.92,1.82,4.35,24.090000000000003
Gadag,2021,3,1.43,13.69,17.92,1.82,33.43
Gadag,2021,4,35.7,1.43,13.69,17.92,33.04
Gadag,2021,5,154.87,35.7,1.43,13.69,50.82
Gadag,2021,6,137.19,154.87,35.7,1.43,192.0
Gadag,2021,7,158.75,137.19,154.87,35.7,327.76
Gadag,2021,8,58.89,158.75,137.19,154.87,450.81
Gadag,2021,9,98.89,58.89,158.75,137.19,354.83
Gadag,2021,10,117.32,98.89,58.89,158.75,316.53
Gadag,2021,11,93.51,117.32,98.89,58.89,275.09999999999997
Gadag,2021,12,12.79,93.51,117.32,98.89,309.71999999999997
Gadag,2022,1,0.19,12.79,93.51,117.32,223.62
Gadag,2022,2,0.0,0.19,12.79,93.51,106.49000000000001
Gadag,2022,3,6.42,0.0,0.19,12.79,12.979999999999999
Gadag,2022,4,43.21,6.42,0.0,0.19,6.61
Gadag,2022,5,119.79,43.21,6.42,0.0,49.63
Gadag,2022,6,64.99,119.79,43.21,6.42,169.42
